trajectory_id,physics_description,filepath
0,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.010.",trajectory_000000.npy
1,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.010.",trajectory_000001.npy
2,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.010.",trajectory_000002.npy
3,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.010.",trajectory_000003.npy
4,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.010.",trajectory_000004.npy
5,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.010.",trajectory_000005.npy
6,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.010.",trajectory_000006.npy
7,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.010.",trajectory_000007.npy
8,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.010.",trajectory_000008.npy
9,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.010.",trajectory_000009.npy
10,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.020.",trajectory_000010.npy
11,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.020.",trajectory_000011.npy
12,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.020.",trajectory_000012.npy
13,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.020.",trajectory_000013.npy
14,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.020.",trajectory_000014.npy
15,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.020.",trajectory_000015.npy
16,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.020.",trajectory_000016.npy
17,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.020.",trajectory_000017.npy
18,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.020.",trajectory_000018.npy
19,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.020.",trajectory_000019.npy
20,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.030.",trajectory_000020.npy
21,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.030.",trajectory_000021.npy
22,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.030.",trajectory_000022.npy
23,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.030.",trajectory_000023.npy
24,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.030.",trajectory_000024.npy
25,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.030.",trajectory_000025.npy
26,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.030.",trajectory_000026.npy
27,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.030.",trajectory_000027.npy
28,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.030.",trajectory_000028.npy
29,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.030.",trajectory_000029.npy
30,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.040.",trajectory_000030.npy
31,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.040.",trajectory_000031.npy
32,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.040.",trajectory_000032.npy
33,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.040.",trajectory_000033.npy
34,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.040.",trajectory_000034.npy
35,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.040.",trajectory_000035.npy
36,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.040.",trajectory_000036.npy
37,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.040.",trajectory_000037.npy
38,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.040.",trajectory_000038.npy
39,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.040.",trajectory_000039.npy
40,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.050.",trajectory_000040.npy
41,"1D viscous Burgers equation: ∂u/∂t + u·∂u/∂x = ν·∂²u/∂x². Domain: [0, 2π] periodic boundary conditions. Viscosity: ν=0.050.",trajectory_000041.npy
